Time, Angle (rad)
968,2.665580
969,1.913820
970,2.055675
971,1.523651
972,1.019141
973,0.812830
974,1.072165
975,0.768780
976,1.321937
977,2.169014
978,2.660691
979,2.563893
980,2.805700
981,-2.768605
982,2.616797
983,1.442686
984,-1.466033
985,0.202242
986,0.896055
987,-0.414198
988,2.739722
989,0.369563
990,0.000000
991,-0.471956
992,0.995773
993,1.100844
994,1.084882
995,1.466696
996,1.495892
997,1.521656
998,1.815517
999,2.163420
1000,2.581471
1001,2.456008
1002,2.039377
1003,1.674977
1004,2.084853
1005,1.591892
1006,1.104716
1007,1.929567
1008,1.582710
1009,1.322852
1010,1.344217
1011,1.265804
1012,0.823894
1013,1.165905
1014,1.387931
1015,1.626295
1016,1.951303
1017,2.312631
1018,2.198292
1019,1.922265
1020,2.326791
1021,2.015715
1022,1.552697
1023,1.430795
1024,2.321725
1025,0.778995
1026,0.333356
1027,-0.569313
1028,-0.482467
1029,0.331039
1030,0.674741
1031,1.436901
1032,1.616027
1033,2.023411
1034,-1.642104
1035,-1.429101
1036,-1.935773
1037,-2.247338
1038,-1.438245
1039,-0.717844
1040,2.904993
1041,-2.291324
1042,-1.787206
1043,-2.572279
1044,-0.676597
1045,0.438493
1046,0.900035
1047,1.297788
1048,1.116077
1049,1.461545
1050,1.151279
1051,1.273732
1052,1.821239
1053,1.757255
1054,2.026570
1055,2.549303
1056,2.434012
1057,2.603173
1058,2.777614
1059,2.651678
1060,2.101361
1061,2.132877
1062,1.926027
1063,2.084512
1064,2.371578
1065,2.822748
1066,2.191046
1067,1.568057
1068,1.570796
1069,1.052580
1070,1.046979
1071,0.912075
1072,1.280972
1073,1.056951
1074,1.417626
1075,1.404681
1076,1.582085
1077,1.468878
1078,1.679444
1079,1.554855
1080,1.970017
1081,2.106455
1082,2.391765
1083,2.175845
1084,2.449534
1085,2.356194
1086,2.344147
1087,2.236218
1088,2.097242
1089,1.669997
1090,1.408307
1091,1.298650
1092,1.274662
1093,1.849096
1094,2.032008
1095,1.815775
1096,1.932138
1097,1.930528
1098,1.838876
1099,2.266990
1100,2.197058
1101,1.774714
1102,1.649084
1103,1.279783
1104,0.785398
1105,0.791947
1106,0.616801
1107,0.695474
1108,0.634023
1109,0.684821
1110,0.483126
1111,0.597791
1112,0.847113
1113,0.858439
1114,1.205595
1115,1.446757
1116,1.471128
1117,0.988751
1118,0.729900
1119,0.482513
1120,0.489957
1121,0.700470
1122,0.670720
1123,1.129599
1124,1.233543
1125,1.463718
1126,1.375659
1127,1.224500
1128,0.920926
1129,0.711459
1130,0.982794
1131,1.107635
1132,1.234122
1133,1.673483
1134,2.242759
1135,2.163799
1136,1.935291
1137,2.030891
1138,2.177163
1139,1.814817
1140,1.344985
1141,1.534227
1142,1.664273
1143,1.432903
1144,1.675673
1145,2.300995
1146,2.072204
1147,1.528071
1148,1.067170
1149,1.003872
1150,0.610726
1151,0.855122
1152,0.530971
1153,1.663433
1154,1.371139
1155,1.756144
1156,-2.759548
1157,-1.698013
1158,0.570266
1159,1.055112
1160,1.216624
1161,1.030377
1162,1.261087
1163,1.026783
1164,0.802092
1165,0.466768
1166,1.570796
1167,0.658806
1168,1.153725
1169,1.706872
1170,1.715609
1171,1.019141
1172,1.509712
1173,1.420868
1174,1.272297
1175,1.159660
1176,1.407430
1177,1.200951
1178,1.405648
1179,1.965587
1180,1.026894
1181,0.298499
1182,0.492540
1183,0.777880
1184,0.967958
1185,0.960409
1186,0.939106
1187,1.525159
1188,2.168736
1189,1.939286
1190,2.325069
1191,2.565217
1192,1.997369
1193,0.875484
1194,0.610909
1195,0.336663
1196,0.713448
1197,0.458045
1198,0.548768
1199,0.502962
1200,0.578539
1201,-0.176709
1202,1.411794
1203,2.390664
1204,1.969319
1205,1.825359
1206,1.258436
1207,1.132302
1208,0.447431
1209,0.384190
1210,-0.093632
1211,2.243065
1212,0.931177
1213,0.148736
1214,0.107265
1215,0.052094
1216,0.246712
1217,0.748072
1218,1.156571
1219,1.818910
1220,2.040062
1221,2.160417
1222,1.927993
1223,1.666979
1224,0.733983
1225,0.540420
1226,0.670522
1227,0.376616
1228,1.239700
1229,1.570796
1230,1.672873
1231,1.074902
1232,0.769006
1233,0.525711
1234,1.144169
1235,1.161888
1236,1.337541
1237,1.639183
1238,1.637364
1239,1.642198
1240,1.626711
1241,1.821743
1242,2.087664
1243,1.004173
1244,0.816485
1245,1.063698
1246,0.554471
1247,1.156245
1248,2.821579
1249,2.695487
1250,2.141053
1251,2.541656
1252,0.927295
1253,1.775192
1254,0.544864
1255,0.383558
1256,1.372824
1257,1.540503
1258,1.634540
1259,2.097424
1260,1.859290
1261,1.389477
1262,1.772806
1263,1.278296
1264,0.982794
1265,1.521900
1266,1.738007
1267,1.515001
1268,1.495493
1269,2.082027
1270,1.862253
1271,2.565513
1272,2.375936
1273,2.660705
1274,2.804918
1275,2.791800
1276,3.064277
1277,2.973697
1278,3.070285
1279,2.751884
1280,2.545394
1281,2.054138
1282,1.972667
1283,1.568889
1284,1.165905
1285,0.968772
1286,1.492544
1287,1.317136
1288,0.927295
1289,1.036952
1290,1.336523
1291,0.735126
1292,1.546602
1293,1.953331
1294,1.586099
1295,1.278811
1296,0.698660
