Time, x COM, y COM, COM
526,52.010101,86.656566,101.066369
527,51.970000,86.750000,101.125879
528,51.950000,86.790000,101.149921
529,51.840000,86.700000,101.016215
530,51.790000,86.790000,101.067840
531,51.595960,86.959596,101.114363
532,51.574257,86.950495,101.095463
533,51.540000,86.950000,101.077565
534,51.584158,87.148515,101.270870
535,51.630000,87.150000,101.295505
536,51.530000,87.170000,101.261788
537,51.712871,87.386139,101.540919
538,51.767677,87.454545,101.627702
539,51.858586,87.666667,101.856553
540,51.750000,87.730000,101.855856
541,51.747475,87.666667,101.800027
542,51.860000,87.710000,101.894571
543,51.868687,87.717172,101.905166
544,51.990000,87.820000,102.055438
545,51.980000,87.760000,101.998716
546,51.979798,87.777778,102.013909
547,51.979798,87.777778,102.013909
548,51.890000,87.720000,101.918450
549,51.900000,87.860000,102.044057
550,51.818182,88.080808,102.192723
551,51.900000,88.270000,102.397280
552,51.755102,88.397959,102.434319
553,51.640000,88.420000,102.395244
554,51.560000,88.490000,102.415398
555,51.495050,88.396040,102.301515
556,51.750000,88.330000,102.373099
557,51.930000,88.340000,102.472828
558,52.240000,88.400000,102.681924
559,52.330000,88.400000,102.727742
560,52.323232,88.545455,102.849493
561,52.220000,88.530000,102.783702
562,52.373737,88.535354,102.866502
563,52.485149,88.722772,103.084534
564,52.505051,88.868687,103.220269
565,52.530000,88.840000,103.208268
566,52.504950,88.950495,103.290660
567,52.380000,89.050000,103.312956
568,52.393939,89.141414,103.398823
569,52.336634,89.326733,103.529650
570,52.230000,89.270000,103.426814
571,52.373737,89.202020,103.440847
572,52.390000,89.200000,103.447340
573,52.670000,89.340000,103.710002
574,52.570000,89.280000,103.607545
575,52.440000,89.380000,103.627882
576,52.633663,89.326733,103.680122
577,52.673267,89.475248,103.828190
578,52.591837,89.510204,103.817041
579,52.380000,89.470000,103.675191
580,52.360000,89.610000,103.785942
581,52.360000,89.610000,103.785942
582,52.445545,89.603960,103.823913
583,52.500000,89.660000,103.899786
584,52.510000,89.900000,104.112007
585,52.686869,89.939394,104.235314
586,52.710000,89.970000,104.273415
587,52.730000,90.050000,104.352553
588,52.990000,90.150000,104.570372
589,53.190000,90.350000,104.844163
590,53.070000,90.330000,104.766091
591,53.060000,90.320000,104.752403
592,53.069307,90.316832,104.754386
593,53.079208,90.455446,104.878930
594,52.969697,90.474747,104.840206
595,53.121212,90.696970,105.108532
596,53.207921,90.712871,105.166096
597,53.110000,90.840000,105.226317
598,53.040000,90.880000,105.225548
599,52.990099,90.920792,105.235645
600,53.030000,90.930000,105.263696
601,53.111111,91.050505,105.408655
602,53.287129,91.158416,105.590600
603,53.217822,91.346535,105.718144
604,53.240000,91.470000,105.835998
605,53.380000,91.540000,105.966957
606,53.264706,91.549020,105.916721
607,53.168317,91.613861,105.924358
608,53.150000,91.620000,105.920474
609,53.070000,91.690000,105.940932
610,52.898990,91.717172,105.878906
611,52.740000,91.750000,105.828021
612,52.891089,91.821782,105.965593
613,52.950495,92.039604,106.184008
614,52.909091,92.181818,106.286685
615,52.737374,92.101010,106.131177
616,52.860000,92.060000,106.156598
617,52.705882,92.137255,106.146991
618,53.170000,92.360000,106.571190
619,53.161616,92.343434,106.552650
620,53.295918,92.520408,106.773034
621,53.474747,92.828283,107.129075
622,53.350000,92.800000,107.042340
623,53.282828,92.828283,107.033405
624,53.151515,92.898990,107.029463
625,53.112245,92.714286,106.849658
626,53.090000,92.790000,106.904313
627,53.100000,92.890000,106.996085
628,53.090909,93.010101,107.095861
629,53.000000,93.089109,107.119476
630,52.970588,93.176471,107.180865
631,52.760000,93.380000,107.254100
632,52.722772,93.584158,107.413618
633,52.643564,93.891089,107.642378
634,52.425743,94.108911,107.726253
635,52.290000,94.110000,107.661210
636,52.310000,94.260000,107.802058
637,52.282828,94.434343,107.941370
638,52.150000,94.690000,108.100965
639,51.891089,94.742574,108.022407
640,51.818182,95.060606,108.266536
641,51.770000,95.110000,108.286864
642,51.909091,95.111111,108.354405
643,52.000000,95.230000,108.502317
644,51.920000,95.470000,108.674778
645,51.979798,95.666667,108.876125
646,52.020202,95.757576,108.975294
647,52.092784,95.773196,109.023682
648,52.070707,95.808081,109.043784
649,52.333333,95.656566,109.036491
650,52.411765,95.833333,109.229212
651,52.400000,95.910000,109.290842
652,52.545455,95.989899,109.430734
653,52.702970,96.227723,109.714984
654,52.560000,96.270000,109.683483
655,52.500000,96.250000,109.637186
656,52.373737,96.484848,109.783124
657,52.454545,96.525253,109.857197
658,52.414141,96.555556,109.864542
659,52.660000,96.530000,109.959613
660,52.600000,96.540000,109.939673
661,52.560000,96.640000,110.008378
662,52.484848,96.919192,110.217916
663,52.450000,96.890000,110.175653
664,52.150000,97.210000,110.315033
665,52.262626,97.262626,110.414676
666,52.383838,97.292929,110.498781
667,52.544554,97.237624,110.526403
668,52.575758,97.444444,110.723214
669,52.560000,97.550000,110.808646
670,52.650000,97.500000,110.807367
671,52.565657,97.272727,110.567318
672,52.710000,97.350000,110.703959
673,53.000000,97.727273,111.173827
674,53.000000,97.811881,111.248209
675,52.806122,97.969388,111.294598
676,52.750000,97.930000,111.233302
677,52.686869,98.101010,111.354004
678,52.730000,98.260000,111.514486
679,52.790000,98.410000,111.675029
680,52.415842,98.346535,111.442637
681,52.260000,98.360000,111.381314
682,52.420000,98.530000,111.606529
683,52.500000,98.680000,111.776529
684,52.425743,98.831683,111.875646
685,52.554455,99.039604,112.119641
686,52.505051,99.282828,112.311443
687,52.380000,99.330000,112.294761
688,52.396040,99.386139,112.351900
689,52.520000,99.390000,112.413178
690,52.420000,99.350000,112.331113
691,52.250000,99.440000,112.331545
692,52.181818,99.656566,112.491658
693,52.320000,99.810000,112.691697
694,52.376238,99.861386,112.763322
695,52.380000,0.010000,52.380001
696,52.373737,0.060606,52.373772
697,52.430000,0.080000,52.430061
698,52.380000,99.950000,112.843551
699,52.480000,99.960000,112.898857
700,52.620000,0.020000,52.620004
701,52.720000,99.840000,112.904491
702,52.752475,99.960396,113.026123
703,52.600000,0.110000,52.600115
704,52.480000,0.060000,52.480034
705,52.480000,0.240000,52.480549
706,52.610000,0.260000,52.610642
707,52.725490,0.343137,52.726607
708,52.860000,0.440000,52.861831
709,52.989899,0.474747,52.992026
710,52.909091,0.585859,52.912334
711,52.959184,0.397959,52.960679
712,53.010101,0.494949,53.012412
713,53.100000,0.570000,53.103059
714,53.120000,0.660000,53.124100
715,53.242424,0.636364,53.246227
716,53.171717,0.777778,53.177405
717,53.166667,0.843137,53.173352
718,53.250000,0.970000,53.258834
719,53.445545,0.891089,53.452973
720,53.490000,0.890000,53.497404
721,53.210000,0.900000,53.217611
722,53.060606,0.898990,53.068221
723,53.217822,1.059406,53.228366
724,53.320000,1.120000,53.331762
725,53.373737,1.161616,53.386376
726,53.454545,1.141414,53.466730
727,53.544554,1.346535,53.561483
728,53.440000,1.230000,53.454153
729,53.414141,1.272727,53.429302
730,53.306931,1.544554,53.329303
731,53.161616,1.616162,53.186177
732,53.050505,1.717172,53.078289
733,53.200000,1.620000,53.224660
734,53.292929,1.797980,53.323251
735,53.183673,1.846939,53.215734
736,53.475248,1.871287,53.507979
737,53.310000,1.890000,53.343493
738,53.297030,1.980198,53.333803
739,53.350000,2.070000,53.390143
740,53.110000,2.120000,53.152295
741,53.220000,2.030000,53.258702
742,53.260000,2.130000,53.302575
743,53.520000,2.090000,53.560793
744,53.581633,2.244898,53.628639
745,53.690000,2.420000,53.744511
746,53.740000,2.390000,53.793119
747,53.610000,2.510000,53.668726
748,53.450000,2.590000,53.512714
749,53.373737,2.585859,53.436341
750,53.510000,2.720000,53.579086
751,53.514851,2.841584,53.590241
752,53.435644,2.801980,53.509056
753,53.520000,2.700000,53.588062
754,53.420000,2.710000,53.488695
755,53.434343,2.808081,53.508078
756,53.376238,2.851485,53.452350
757,53.350000,2.790000,53.422903
758,53.292929,3.060606,53.380742
759,53.303030,3.202020,53.399120
760,53.200000,3.540000,53.317648
761,53.150000,3.660000,53.275868
762,53.000000,3.642857,53.125045
763,52.960000,3.670000,53.087009
764,52.790000,3.880000,52.932396
765,52.570000,3.780000,52.705724
766,52.595960,3.757576,52.730014
767,52.747475,3.767677,52.881863
768,52.660000,3.950000,52.807936
769,52.690000,3.940000,52.837105
770,52.787879,3.888889,52.930932
771,52.800000,3.860000,52.940907
772,52.878788,3.818182,53.016457
773,52.830000,3.750000,52.962925
774,52.673469,3.816327,52.811540
775,52.767677,3.828283,52.906365
776,53.050000,4.220000,53.217581
777,52.861386,4.237624,53.030968
778,53.040404,4.070707,53.196383
779,53.120000,4.190000,53.284993
780,53.150000,4.210000,53.316476
